City,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
258,Aklavik,CA,2.37,scattered clouds,68.2191,-135.0107,Aklavik Inn
604,Anadyr,RU,1.9,clear sky,64.75,177.4833,Отке17.ру — жильё для командированных
