City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Tateyama,JP,34.9833,139.8667,59.18,65,19,10.49,few clouds
80,Kieta,PG,-6.2167,155.6333,83.35,75,14,3.11,few clouds
81,Santa Cruz,BO,-17.8,-63.1667,86.05,62,40,20.71,scattered clouds
82,Saint-Philippe,RE,-21.3585,55.7679,69.39,81,46,12.21,light rain
83,San Patricio,US,28.017,-97.5169,82.49,33,35,3.87,scattered clouds
84,Bredasdorp,ZA,-34.5322,20.0403,58.57,51,100,6.85,overcast clouds
85,Baiyin,CN,36.5583,104.2081,41.09,72,71,5.06,broken clouds
86,Te Anau,NZ,-45.4167,167.7167,56.64,67,84,2.17,broken clouds
87,Provideniya,RU,64.3833,-173.3,21.31,49,0,11.18,clear sky
88,Thompson,CA,55.7435,-97.8558,41.16,56,75,5.75,broken clouds
89,Nishihara,JP,26.1842,127.7558,74.48,86,100,21.85,light intensity shower rain
90,Dingle,PH,10.9995,122.6711,75.61,93,100,7.29,overcast clouds
91,Curitibanos,BR,-27.2828,-50.5844,63.25,97,100,7.07,overcast clouds
92,Merrill,US,45.1805,-89.6835,57.88,58,0,0.0,clear sky
93,Erenhot,CN,43.6475,111.9767,29.34,51,2,16.93,clear sky
94,Coihaique,CL,-45.5752,-72.0662,53.55,43,20,8.05,few clouds
95,Sao Filipe,CV,14.8961,-24.4956,79.68,73,70,8.34,broken clouds
96,Bethel,US,41.3712,-73.414,56.62,48,67,2.91,broken clouds
97,Winsum,NL,53.33,6.5208,58.96,87,100,7.63,overcast clouds
98,Port Hedland,AU,-20.3167,118.5667,68.05,19,0,10.36,clear sky
99,Ponta Delgada,PT,37.7333,-25.6667,61.52,67,20,16.11,few clouds
100,Iqaluit,CA,63.7506,-68.5145,29.93,92,100,6.91,light snow
101,Ribeira Grande,PT,38.5167,-28.7,61.77,65,98,8.01,overcast clouds
102,Uyovu,TZ,-3.2833,31.5258,66.72,66,100,1.7,overcast clouds
103,Watertown,US,42.3709,-71.1828,58.37,58,0,8.05,clear sky
104,Tocopilla,CL,-22.092,-70.1979,64.04,62,20,4.32,few clouds
105,Tahe,CN,52.3333,124.7333,27.97,99,100,2.21,overcast clouds
106,Ayagoz,KZ,47.9714,80.4392,42.24,80,100,13.11,overcast clouds
107,Batetskiy,RU,58.6461,30.3027,36.25,62,7,14.34,clear sky
